customerID,gender,SeniorCitizen,Partner,Dependents,tenure
1,Female,0,Yes,No,1
2,Male,0,No,No,34
3,Male,0,No,No,2
4,Male,0,No,No,45
5,Female,0,No,No,2
6,Female,0,No,No,8
7,Male,0,No,Yes,22
8,Female,0,No,No,10
9,Female,0,Yes,No,28
10,Male,0,No,Yes,62
11,Male,0,Yes,Yes,13
12,Male,0,No,No,16
13,Male,0,Yes,No,58
14,Male,0,No,No,49
15,Male,0,No,No,25
16,Female,0,Yes,Yes,69
17,Female,0,No,No,52
18,Male,0,No,Yes,71
19,Female,0,Yes,Yes,10
20,Female,0,No,No,21
21,Male,1,No,No,1
22,Male,0,Yes,No,12
23,Male,0,No,No,1
24,Female,0,Yes,No,58
25,Male,0,Yes,Yes,49
26,Female,0,No,No,30
27,Male,0,Yes,Yes,47
28,Male,0,Yes,Yes,1
29,Male,0,Yes,No,72
30,Female,0,No,Yes,17
31,Female,1,Yes,No,71
32,Male,1,Yes,No,2
33,Female,0,Yes,Yes,27
34,Male,0,No,No,1
35,Male,1,No,No,1
36,Female,0,Yes,Yes,72
37,Male,0,No,No,5
38,Female,0,No,No,46
39,Male,0,No,No,34
40,Female,0,No,No,11
41,Male,0,Yes,Yes,10
42,Female,0,Yes,Yes,70
43,Female,0,Yes,Yes,17
44,Female,0,No,No,63
45,Female,0,Yes,No,13
46,Female,0,No,No,49
47,Male,0,No,No,2
48,Female,0,No,No,2
49,Male,0,No,No,52
50,Female,0,Yes,Yes,69
51,Female,1,No,No,43
52,Female,0,No,No,15
53,Female,1,Yes,No,25
54,Female,1,Yes,No,8
55,Female,1,Yes,Yes,60
56,Male,1,No,No,18
57,Female,0,Yes,Yes,63
58,Male,1,Yes,Yes,66
59,Female,0,Yes,Yes,34
60,Female,0,No,No,72
61,Female,0,Yes,No,47
62,Male,0,No,No,60
63,Male,0,Yes,No,72
64,Female,0,Yes,Yes,18
65,Female,0,No,No,9
66,Female,0,No,No,3
67,Male,0,Yes,No,47
68,Female,0,No,No,31
69,Female,0,Yes,Yes,50
70,Male,0,No,No,10
71,Male,0,No,No,1
72,Female,0,Yes,Yes,52
73,Male,1,Yes,Yes,64
74,Male,0,Yes,Yes,62
75,Female,0,No,Yes,3
76,Female,1,No,No,56
77,Female,0,No,No,46
78,Female,0,Yes,Yes,8
79,Male,1,No,No,30
80,Female,0,Yes,Yes,45
81,Female,0,No,Yes,1
82,Female,0,Yes,Yes,11
83,Female,0,Yes,No,7
84,Female,0,No,No,42
85,Female,0,Yes,No,49
86,Male,0,No,No,9
87,Female,0,Yes,No,35
88,Female,0,Yes,Yes,48
89,Female,0,Yes,Yes,46
90,Male,0,Yes,No,29
91,Male,0,Yes,Yes,30
92,Male,1,No,No,1
93,Male,0,Yes,Yes,66
94,Female,0,No,No,65
95,Male,0,No,No,72
96,Female,0,No,No,12
97,Male,0,Yes,Yes,71
98,Male,0,No,No,5
99,Male,0,No,No,52
100,Female,1,Yes,No,25
101,Male,0,No,No,1
102,Female,0,Yes,Yes,1
103,Male,0,No,No,38
104,Female,1,Yes,No,66
105,Male,0,Yes,No,68
106,Male,0,No,No,5
107,Female,0,Yes,Yes,72
108,Female,0,No,No,32
109,Male,0,No,No,43
110,Male,0,Yes,Yes,72
111,Male,0,Yes,No,55
112,Female,0,No,No,52
113,Female,0,No,No,43
114,Female,1,Yes,No,37
